No,ParentOrder,ParentId,Step,Class,Exponent,CenterSize,DerivedLength,NrConjClasses,HasC2DirectFactor,Code,Order,DerivedSize,Involutions,m,r,IsSpecial,Source,SourceID,Family,WignerS2,WignerS3
135,64,267,4,2,4,16,2,196,false,22880608151144612174968090875273778846911170055,1024,16,79,6,4,true,class2_special,40,m6r4_polar4_q3,200704,67108864
136,64,267,4,2,4,16,2,196,false,23429742746772082867167266914467463048771174401590,1024,16,399,6,4,true,class2_special,41,m6r4_polar4_q4,200704,67108864
137,64,267,4,2,4,16,2,196,false,23992056572694612855979281320414682306030436013573687,1024,16,79,6,4,true,class2_special,42,m6r4_polar4_q5,200704,67108864
138,64,267,4,2,4,16,2,196,false,24567865930439283564522784072027225687025544154401998399,1024,16,15,6,4,true,class2_special,43,m6r4_polar4_q6,200704,67108864
139,64,267,4,2,4,16,2,124,false,81117024132355038623182977118820901591363378804250555484445630807567,1024,16,47,6,4,true,class2_special,44,m6r4_polar5_q1,126976,29753344
140,64,267,4,2,4,16,2,124,false,81117024132355038623182977118820901591363398165897722960175840378391,1024,16,303,6,4,true,class2_special,45,m6r4_polar5_q2,126976,29753344
141,64,267,4,2,4,16,2,124,false,81117024132355038623182977118820901591363378671968989760671455133241,1024,16,303,6,4,true,class2_special,46,m6r4_polar5_q3,126976,29753344
142,128,2328,3,2,4,8,2,232,false,19826402368111395694081738240,1024,8,383,7,3,true,class2_special,47,m7r3_polar1_q1,237568,74973184
143,128,2328,3,2,4,8,2,232,false,20789489689544811807570129187767814,1024,8,383,7,3,true,class2_special,48,m7r3_polar1_q2,237568,74973184
144,128,2328,3,2,4,8,2,232,false,20789489689544793306782859949770264,1024,8,255,7,3,true,class2_special,49,m7r3_polar1_q3,237568,74973184
145,128,2328,3,2,4,8,2,232,false,21799359940704121186490100407366710199838,1024,8,255,7,3,true,class2_special,50,m7r3_polar1_q4,237568,74973184
146,128,2328,3,2,4,8,2,232,false,20789489689544793324797258459252257,1024,8,383,7,3,true,class2_special,51,m7r3_polar1_q5,237568,74973184
147,128,2328,3,2,4,8,2,232,false,21799359940704121205416423798195691193895,1024,8,63,7,3,true,class2_special,52,m7r3_polar1_q6,237568,74973184
148,128,2328,3,2,4,8,2,232,false,21288437442093868346181668319178786341,1024,8,255,7,3,true,class2_special,53,m7r3_polar1_q7,237568,74973184
