Order,SmallGroup_ID,StructureDescription,CenterSize
1536,408131713,"((C2 x (((C2 x C2 x C2 x C2) : C2) : C2)) : C2) x S3",2
1536,408131715,"C2 x (C3 : ((C2 x (((C2 x C2 x C2 x C2) : C2) : C2)) : C2))",4
1536,408131787,"(((((C2 x C2 x C2 x C2) : C2) : C2) : C2) : C2) x S3",2
1536,408131788,"C2 x (C3 : (((((C2 x C2 x C2 x C2) : C2) : C2) : C2) : C2))",4
1536,408136712,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) x S3",4
1536,408136714,"C2 x (C3 : (((C2 x ((C8 x C2) : C2)) : C2) : C2))",8
1536,408136719,"C2 x (C3 : (((C2 x ((C8 x C2) : C2)) : C2) : C2))",8
1536,408136732,"(((C2 x ((C8 x C2) : C2)) : C2) : C2) x S3",4
1536,408136734,"C2 x (C3 : (((C2 x ((C8 x C2) : C2)) : C2) : C2))",8
1536,408136738,"C2 x (C3 : (((C2 x ((C8 x C2) : C2)) : C2) : C2))",8
1536,408136834,"C2 x C2 x ((((C4 x C4) : C2) : C2) x S3)",16
1536,408136837,"C2 x C2 x C2 x (C3 : (((C4 x C4) : C2) : C2))",32
1536,408136844,"C2 x C2 x ((C4 : Q16) x S3)",16
1536,408136847,"C2 x C2 x C2 x (C3 : (C4 : Q16))",32
1536,408136960,"(((C8 : Q8) : C2) : C2) x S3",4
1536,408136962,"C2 x (C3 : (((C8 : Q8) : C2) : C2))",8
1536,408136967,"C2 x (C3 : (((C8 : Q8) : C2) : C2))",8
1536,408137036,"C2 x C2 x ((C8 : Q8) x S3)",16
1536,408137039,"C2 x C2 x C2 x (C3 : (C8 : Q8))",32
1536,408151168,"C2 x D8 x D16 x S3",8
1536,408151175,"C2 x C2 x D16 x D24",16
1536,408151176,"C2 x C2 x D8 x D48",16
1536,408151189,"C2 x D8 x Q16 x S3",8
1536,408151196,"C2 x C2 x Q16 x D24",16
1536,408151197,"C2 x C2 x (D8 x (C3 : Q16))",16
1536,408151671,"(((C2 x C2 x D16) : C2) : C2) x S3",4
1536,408151684,"C2 x (C3 : (((C2 x C2 x D16) : C2) : C2))",8
1536,408151706,"(((C2 x C2 x Q16) : C2) : C2) x S3",4
1536,408151719,"C2 x (C3 : (((C2 x C2 x Q16) : C2) : C2))",8
1536,408152407,"(((C2 x (C8 : (C2 x C2))) : C2) : C2) x S3",4
1536,408152417,"C2 x (C3 : (((C2 x (C8 : (C2 x C2))) : C2) : C2))",8
1536,408152418,"C2 x (C3 : (((C2 x (C8 : (C2 x C2))) : C2) : C2))",8
1536,408152435,"(((C2 x ((C2 x Q8) : C2)) : C2) : C2) x S3",4
1536,408152445,"C2 x (C3 : (((C2 x ((C2 x Q8) : C2)) : C2) : C2))",8
1536,408152446,"C2 x (C3 : (((C2 x ((C2 x Q8) : C2)) : C2) : C2))",8
1536,408153202,"D8 x (C3 : ((C2 x D16) : C2))",4
1536,408153216,"((C2 x D16) : C2) x D24",4
1536,408153217,"D8 x (C3 : ((C2 x D16) : C2))",4
1536,408153242,"D8 x (C3 : ((C2 x Q16) : C2))",4
1536,408153256,"((C2 x Q16) : C2) x D24",4
1536,408153257,"D8 x (C3 : ((C2 x Q16) : C2))",4
1536,408153848,"C2 x ((((C8 : (C2 x C2)) : C2) : C2) x S3)",4
1536,408153853,"C2 x C2 x (C3 : (((C8 : (C2 x C2)) : C2) : C2))",8
1536,408153854,"C2 x (((((C2 x Q8) : C2) : C2) : C2) x S3)",4
1536,408153859,"C2 x C2 x (C3 : ((((C2 x Q8) : C2) : C2) : C2))",8
1536,408154061,"C3 : ((C2 x (((C8 : (C2 x C2)) : C2) : C2)) : C2)",2
